"""Item Code"",""ItemStatus"",""Description"",""Size"",""Age"",""Proof"",""Bottles Per Case"",""Unit Price"",""Effective Date"""

"""0103B"",,""BALVENIE CARIBBEAN CASK 14YR SINGLE MALT"",""750 ML"",""14 YRS"",86,6,81.95,08/01/2020"
"""0107B"",,""STONE BARN CRANBERRY LIQUEUR"",""750 ML"",,40,12,35.00,08/01/2020"
"""0107E"",,""STONE BARN CRANBERRY LIQUEUR"",""375 ML"",,40,12,25.00,08/01/2020"
"""0108B"",,""WEBFOOT VODKA"",""750 ML"",,80,12,19.95,08/01/2020"
"""0108E"",,""WEBFOOT VODKA"",""375 ML"",,80,12,11.95,08/01/2020"
"""0109B"",,""SLAPTAIL VODKA"",""750 ML"",,80,12,19.95,08/01/2020"
"""0109E"",,""SLAPTAIL VODKA"",""375 ML"",,80,12,11.95,08/01/2020"
"""0129B"",,""OLD GRAND DAD"",""750 ML"",""4 YRS"",100,12,22.95,08/01/2020"
"""0132B"",,""EZRA BROOKS"",""750 ML"",""4 YRS"",90,12,13.95,08/01/2020"
"""0132H"",,""EZRA BROOKS"",""1.75 L"",""4 YRS"",90,6,29.95,08/01/2020"
"""0133B"",,""JIM BEAM BLACK"",""750 ML"",""8 YRS"",86,12,22.95,08/01/2020"
"""0133H"",,""JIM BEAM BLACK"",""1.75 L"",""8 YRS"",86,6,49.95,08/01/2020"
"""0134B"",,""WILD TURKEY RUSSELL'S RESERVE BOURBON"",""750 ML"",""10 YRS"",90,6,37.95,08/01/2020"
"""0136A"",,""EVAN WILLIAMS BLK LABEL"",""LITER"",,86,12,16.95,08/01/2020"
"""0136B"",,""EVAN WILLIAMS BLK LABEL"",""750 ML"",,86,12,15.95,08/01/2020"
"""0136E"",,""EVAN WILLIAMS BLK LABEL"",""375 ML"",,86,24,6.95,08/01/2020"
"""0136H"",,""EVAN WILLIAMS BLK LABEL"",""1.75 L"",,86,6,26.95,08/01/2020"
"""0137B"",,""EVAN WILLIAMS BLACK LABEL"",""750 ML"",,86,12,15.95,08/01/2020"
"""0138B"",,""ELIJAH CRAIG SMALL BATCH"",""750 ML"",""12 YRS"",94,12,29.95,08/01/2020"
"""0138E"",,""ELIJAH CRAIG SMALL BATCH"",""375 ML"",""12 YRS"",94,12,16.95,08/01/2020"
"""0138F"",,""ELIJAH CRAIG SMALL BATCH"",""50 ML"",""12 YRS"",94,60,3.00,08/01/2020"
"""0138H"",,""ELIJAH CRAIG SMALL BATCH"",""1.75 L"",""12 YRS"",94,6,54.95,08/01/2020"
"""0139B"",,""WOODFORD RESERVE DISTILLER SELECT"",""750 ML"",,90,12,36.95,08/01/2020"
"""0139E"",,""WOODFORD RESERVE DISTILLER SELECT"",""375 ML"",,90,12,18.95,08/01/2020"
"""0139H"",,""WOODFORD RESERVE DISTILLER SELECT"",""1.75 L"",,90,6,72.95,08/01/2020"
"""0140A"",,""JIM BEAM"",""LITER"",""4 YRS"",80,12,21.95,08/01/2020"
"""0140B"",,""JIM BEAM"",""750 ML"",""4 YRS"",80,12,17.95,08/01/2020"
"""0140D"",,""JIM BEAM"",""200 ML"",""4 YRS"",80,48,6.95,08/01/2020"
"""0140E"",,""JIM BEAM"",""375 ML"",""4 YRS"",80,24,9.95,08/01/2020"
"""0140F"",,""JIM BEAM"",""50 ML"",""4 YRS"",80,120,2.25,08/01/2020"
"""0140H"",,""JIM BEAM"",""1.75 L"",""4 YRS"",80,6,37.95,08/01/2020"
"""0141B"",,""JIM BEAM LT. WGT."",""750 ML"",""4 YRS"",80,12,17.95,08/01/2020"
"""0143B"",,""LUNAZUL ANEJO TEQUILA"",""750 ML"",,80,6,19.95,08/01/2020"
"""0145B"",""@"",""HIGH WEST RENDEZVOUS RYE WHISKEY"",""750 ML"",,92,6,69.95,08/01/2020"
"""0146A"",,""JACK DANIELS BLACK LABEL"",""LITER"",,80,12,27.95,08/01/2020"
"""0146B"",,""JACK DANIELS BLACK LABEL"",""750 ML"",,80,12,21.95,08/01/2020"
"""0146D"",,""JACK DANIELS BLACK LABEL"",""200 ML"",,80,48,8.45,08/01/2020"
"""0146E"",,""JACK DANIELS BLACK LABEL"",""375 ML"",,80,24,14.95,08/01/2020"
"""0146F"",,""JACK DANIELS BLACK LABEL"",""50 ML"",,80,120,2.75,08/01/2020"
"""0146H"",,""JACK DANIELS BLACK LABEL"",""1.75 L"",,80,6,47.95,08/01/2020"
"""0147B"",,""GEORGE DICKEL #12"",""750 ML"",,90,12,21.95,08/01/2020"
"""0147H"",,""GEORGE DICKEL #12"",""1.75 L"",,90,6,42.95,08/01/2020"
"""0148B"",,""GENTLEMAN JACK"",""750 ML"",,80,12,31.95,08/01/2020"
"""0148E"",,""GENTLEMAN JACK"",""375 ML"",,80,12,16.95,08/01/2020"
"""0148H"",,""GENTLEMAN JACK"",""1.75 L"",,80,6,61.95,08/01/2020"
"""0152B"",,""OLD CROW"",""750 ML"",""3 YRS"",80,12,10.95,08/01/2020"
"""0152E"",,""OLD CROW"",""375 ML"",""3 YRS"",80,24,6.45,08/01/2020"
"""0152H"",,""OLD CROW"",""1.75 L"",""3 YRS"",80,6,19.95,08/01/2020"
"""0153B"",,""OLD CROW LT. WGT."",""750 ML"",""3 YRS"",80,12,10.95,08/01/2020"
"""0154B"",,""OLD TAYLOR STRAIGHT BOURBON"",""750 ML"",""6 YRS"",80,12,9.95,08/01/2020"
"""0154H"",,""OLD TAYLOR STRAIGHT BOURBON"",""1.75 L"",""6 YRS"",80,6,19.95,08/01/2020"
"""0155B"",,""ANCIENT AGE"",""750 ML"",,80,12,11.95,08/01/2020"
"""0155H"",,""ANCIENT AGE"",""1.75 L"",,80,6,25.95,08/01/2020"
"""0156B"",,""EARLY TIMES KENTUCKY"",""750 ML"",,80,12,13.95,08/01/2020"
"""0156E"",,""EARLY TIMES KENTUCKY"",""375 ML"",,80,24,6.45,08/01/2020"
"""0156H"",,""EARLY TIMES KENTUCKY"",""1.75 L"",,80,6,27.95,08/01/2020"
"""0157B"",,""SAUZA BLUE SILVER TEQUILA"",""750 ML"",,80,12,19.95,08/01/2020"
"""0158B"",,""OLD GRAND DAD"",""750 ML"",""4 YRS"",86,12,17.95,08/01/2020"
"""0159B"",,""EARLY TIMES KENTUCKY"",""750 ML"",,80,12,11.95,08/01/2020"
"""0160B"",,""EVAN WILLIAMS GREEN LABEL"",""750 ML"",""4 YRS"",80,12,12.95,08/01/2020"
"""0160H"",,""EVAN WILLIAMS GREEN LABEL"",""1.75 L"",""4 YRS"",80,6,24.95,08/01/2020"
"""0161B"",,""SAUZA BLUE REPOSADO TEQUILA"",""750 ML"",,80,12,19.95,08/01/2020"
"""0164B"",,""EVAN WILLIAMS CHERRY RESERVE"",""750 ML"",,70,12,12.95,08/01/2020"
"""0172B"",,""MALIBU BLACK COCONUT FLAVORED RUM"",""750 ML"",,70,12,16.95,08/01/2020"
"""0174B"",,""BULLEIT 95 RYE STRAIGHT RYE WHISKEY"",""750 ML"",,90,12,29.95,08/01/2020"
"""0174E"",,""BULLEIT 95 RYE STRAIGHT RYE WHISKEY"",""375 ML"",,90,12,14.95,08/01/2020"
"""0174H"",,""BULLEIT 95 RYE STRAIGHT RYE WHISKEY"",""1.75 L"",,90,6,54.95,08/01/2020"
"""0180B"",""@"",""ROGUE 2007 VINTAGE VODKA"",""750 ML"",,80,12,74.35,08/01/2020"
"""0184B"",,""HENRY MCKENNA"",""750 ML"",,80,12,11.95,08/01/2020"
"""0184H"",,""HENRY MCKENNA"",""1.75 L"",,80,6,24.95,08/01/2020"
"""0186H"",,""JOSE CUERVO WATERMELON MARGARITA"",""1.75 L"",,20,6,17.95,08/01/2020"
"""0187H"",,""CUERVO AUTHENTIC LIGHT LIME MARGARITA"",""1.75 L"",,20,6,17.95,08/01/2020"
"""0189B"",,""OLD FORESTER"",""750 ML"",,86,12,19.95,08/01/2020"
"""0189F"",,""OLD FORESTER"",""50 ML"",,86,120,1.50,08/01/2020"
"""0189H"",,""OLD FORESTER"",""1.75 L"",,86,6,35.95,08/01/2020"
"""0191B"",,""STAGG JR. KENTUCKY STRAIGHT BOURBON"",""750 ML"",,130,6,49.95,08/01/2020"
"""0193B"",,""TEN HIGH"",""750 ML"",,80,12,9.95,08/01/2020"
"""0193H"",,""TEN HIGH"",""1.75 L"",,80,6,17.95,08/01/2020"
"""0196B"",,""WILD TURKEY 81"",""750 ML"",,81,12,20.95,08/01/2020"
"""0197B"",,""STONE BARN BRNDYWRKS EASY EIGHT OAT WHKY"",""750 ML"",,80,12,35.00,08/01/2020"
"""0199B"",,""GEORGE DICKEL O #8"",""750 ML"",,80,12,19.95,08/01/2020"
"""0207B"",""@"",""SEAGRAM'S PLATINUM SELECT VODKA"",""750 ML"",,100,12,11.95,08/01/2020"
"""0212B"",,""OLD OVERHOLT"",""750 ML"",""4 YRS"",80,12,17.95,08/01/2020"
"""0212H"",,""OLD OVERHOLT"",""1.75 L"",""4 YRS"",80,6,41.95,08/01/2020"
"""0216B"",""$"",""AVIATION GIN GIFT"",""750 ML"",,84,4,29.95,08/01/2020"
"""0221B"",,""POTTERS SPECIAL"",""750 ML"",,80,12,7.95,08/01/2020"
"""0221E"",,""POTTERS SPECIAL"",""375 ML"",,80,24,4.70,08/01/2020"
"""0221H"",,""POTTERS SPECIAL"",""1.75 L"",,80,6,15.75,08/01/2020"
"""0223B"",,""BEAMS 8 STAR"",""750 ML"",,80,12,8.45,08/01/2020"
"""0223E"",,""BEAMS 8 STAR"",""375 ML"",,80,24,4.75,08/01/2020"
"""0223H"",,""BEAMS 8 STAR"",""1.75 L"",,80,6,16.95,08/01/2020"
"""0225B"",,""KESSLER"",""750 ML"",,80,12,9.95,08/01/2020"
"""0225H"",,""KESSLER"",""1.75 L"",,80,6,19.95,08/01/2020"
"""0226B"",,""MCCORMICK BLEND"",""750 ML"",,80,12,8.25,08/01/2020"
"""0226E"",,""MCCORMICK BLEND"",""375 ML"",,80,24,4.70,08/01/2020"
"""0226H"",,""MCCORMICK BLEND"",""1.75 L"",,80,6,16.95,08/01/2020"
"""0231B"",,""MONARCH RESERVE"",""750 ML"",,80,12,8.45,08/01/2020"
"""0241B"",,""STEIN SEVEN DEVILS MICRO-DISTILLED RUM"",""750 ML"",,80,12,21.95,08/01/2020"
"""0243B"",""@"",""DEATH'S DOOR GIN"",""750 ML"",,94,6,29.95,08/01/2020"
"""0244B"",,""PENDLETON 1910 RYE WHISKEY"",""750 ML"",""12 YRS"",80,6,39.95,08/01/2020"
"""0252B"",,""CANADIAN RICH AND RARE RESERVE"",""750 ML"",,80,6,10.95,08/01/2020"
"""0252H"",,""CANADIAN RICH AND RARE RESERVE"",""1.75 L"",,80,6,22.95,08/01/2020"
"""0258E"",,""SINGLE OAK PROJECT KENTUCKY STRAIGHT"",""375 ML"",,90,12,57.45,08/01/2020"
"""0260B"",,""CRUZAN STRAWBERRY"",""750 ML"",,42,12,11.95,08/01/2020"
"""0263B"",,""SEAGRAM'S SEVEN CROWN LT. WGT."",""750 ML"",,80,12,12.95,08/01/2020"
"""0265B"",,""SEAGRAM'S SEVEN CROWN"",""750 ML"",,80,12,12.95,08/01/2020"
"""0265D"",,""SEAGRAM'S SEVEN CROWN"",""200 ML"",,80,24,3.95,08/01/2020"
"""0265E"",,""SEAGRAM'S SEVEN CROWN"",""375 ML"",,80,12,7.95,08/01/2020"
"""0265F"",,""SEAGRAM'S SEVEN CROWN"",""50 ML"",,80,120,2.00,08/01/2020"
"""0265H"",,""SEAGRAM'S SEVEN CROWN"",""1.75 L"",,80,6,22.95,08/01/2020"
"""0267B"",,""BROKER'S RESERVE"",""750 ML"",,80,12,9.75,08/01/2020"
"""0267E"",,""BROKER'S RESERVE"",""375 ML"",,80,24,5.45,08/01/2020"
"""0267H"",,""BROKER'S RESERVE"",""1.75 L"",,80,6,17.95,08/01/2020"
"""0268B"",,""BROKER'S RESERVE LT. WGT."",""750 ML"",,80,12,9.65,08/01/2020"
"""0276B"",,""BURNETT'S WHIPPED CREAM FLAVORED VODKA"",""750 ML"",,70,12,7.95,08/01/2020"
"""0276H"",,""BURNETT'S WHIPPED CREAM FLAVORED VODKA"",""1.75 L"",,70,6,18.95,08/01/2020"
"""0293B"",,""ABERLOUR 18 YEAR SINGLE MALT SCOTCH"",""750 ML"",,86,6,149.95,08/01/2020"
"""0296H"",,""FLEISHMANN PREFERRED 80"",""1.75 L"",,80,6,14.95,08/01/2020"
"""0299B"",,""MACNAUGHTONS CARRY PACK"",""750 ML"",""4 YRS"",80,12,9.95,08/01/2020"
"""0300H"",,""CAMPBELL COOPER CANADIAN"",""1.75 L"",,87,6,19.95,08/01/2020"
"""0301B"",,""SEAGRAMS V.O. GOLD CANADIAN WHISKEY"",""750 ML"",""8 YRS"",80,12,17.95,08/01/2020"
"""0302B"",,""BLACK VELVET TRAVELER"",""750 ML"",""38 MOS"",80,12,9.95,08/01/2020"
"""0304B"",,""CANADIAN CLUB"",""750 ML"",""6 YRS"",80,12,10.95,08/01/2020"
"""0304H"",,""CANADIAN CLUB"",""1.75 L"",""6 YRS"",80,6,24.95,08/01/2020"
"""0305B"",,""CANADIAN MIST"",""750 ML"",,80,12,11.95,08/01/2020"
"""0305E"",,""CANADIAN MIST"",""375 ML"",,80,24,6.95,08/01/2020"
"""0305H"",,""CANADIAN MIST"",""1.75 L"",,80,6,22.95,08/01/2020"
"""0306B"",,""SEAGRAMS V O"",""750 ML"",,80,12,15.95,08/01/2020"
"""0306E"",,""SEAGRAMS V O"",""375 ML"",,80,24,8.95,08/01/2020"
"""0306H"",,""SEAGRAMS V O"",""1.75 L"",,80,6,29.95,08/01/2020"
"""0308B"",,""MACNAUGHTONS"",""750 ML"",""4 YRS"",80,12,9.95,08/01/2020"
"""0308H"",,""MACNAUGHTONS"",""1.75 L"",""4 YRS"",80,6,21.95,08/01/2020"
"""0309B"",,""POTTERS CROWN"",""750 ML"",""4 YRS"",80,12,8.95,08/01/2020"
"""0309E"",,""POTTERS CROWN"",""375 ML"",""4 YRS"",80,24,4.95,08/01/2020"
"""0309H"",,""POTTERS CROWN"",""1.75 L"",""4 YRS"",80,6,16.95,08/01/2020"
"""0310H"",,""HARWOOD CANADIAN"",""1.75 L"",""3 YRS"",80,6,16.45,08/01/2020"
"""0311A"",,""SEAGRAM'S CROWN ROYAL"",""LITER"",,80,12,29.95,08/01/2020"
"""0311B"",,""SEAGRAM'S CROWN ROYAL"",""750 ML"",,80,12,27.95,08/01/2020"
"""0311D"",,""SEAGRAM'S CROWN ROYAL"",""200 ML"",,80,44,8.95,08/01/2020"
"""0311E"",,""SEAGRAM'S CROWN ROYAL"",""375 ML"",,80,24,14.95,08/01/2020"
